Designator,MidX,MidY,Layer,Rotation
C1,33.25,-45.25,top,0
C2,33.25,-48.75,top,0
C3,33.25,-52.25,top,0
C4,33.25,-69.5,top,0
C5,33.25,-73,top,0
C6,33.25,-76.5,top,0
C15,73.75,-62,top,90
D1,84,-64,top,0
D2,84,-55,top,0
D4,76.75,-64.5,top,-90
J1,88.25,-41.36,top,90
J2,88.25,-78.06,top,90
J3,36.5,-37.75,top,90
LSI-U1,64.25,-75,top,180
LSI-U2,64.25,-56,top,180
R1,70,-57.25,top,180
R2,31.75,-60,top,90
R3,31.75,-58.5,top,-90
R4,33.25,-41.75,top,180
R5,33.25,-66,top,180
R12,70,-76.25,top,180
R22,76.25,-59.99,top,-90
R23,73.75,-60,top,-90
R24,75,-60,top,-90
U1,34.5522,-59.249999,top,180
U3,75,-55,top,90
